"Requirement ID","Requirement Type","Criterion/Authority","Title","Exact Requirement Summary","Applicability","Source URL","Evidence Expected","Test Method","Owner Function","Audit Questions","Pass Conditions","Failure Risks","Frequency","Effective Date","Due Date/Trigger","Notes"
"COC-SVAP-01","Maintenance of Certification","§170.405(b)(8)-(9)","SVAP — Standards Version Advancement","Developers are permitted (not required) to update to newer SVAP-approved standard versions. If adopting SVAP versions, must be addressed in RWT plans and results.","Optional","https://healthit.gov/certification-health-it/standards-version-advancement-process-svap/","SVAP adoption records; RWT plan/results entries for SVAP versions; ONC-ACB coordination records.","SVAP adoption review; RWT alignment check.","Product / Engineering","Has the developer adopted any SVAP versions? Are they reflected in RWT plans?","SVAP versions, if adopted, documented and included in RWT.","Non-conformity if SVAP version used but not properly documented/tested.","Ongoing; triggered by SVAP adoption decisions","Jun 30, 2020 (Cures Act Final Rule)","Ongoing; RWT alignment required","Track SVAP-approved standards list on healthit.gov."
"COC-DR-01","Program Obligation","§170.580","Direct Review Readiness","Maintain readiness to respond to ONC Direct Review. If non-conformity suspected, ONC sends Notice of Non-Conformity; developer has 30 days to respond.","Ongoing","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-D","Incident response plan for Direct Review; designated responder; document repository for compliance evidence; 30-day response capability.","Readiness assessment; tabletop exercise.","Legal / Compliance; Executive","Is there a Direct Review response plan? Who is the designated responder? Can the team respond within 30 days?","Response plan documented; designated responder identified; compliance evidence readily accessible.","Certification suspension/termination; developer ban; loss of customer CEHRT eligibility; CMS coordination for affected users.","Ongoing (readiness); event-driven (30-day response)","Dec 19, 2016 (EOA Rule)","30 days from receipt of Notice of Non-Conformity","Triggers: public health/safety risk, ONC-ACB practical challenges, CoC/MoC non-compliance."
"COC-CHPL-01","Program Obligation","§170.523 / CHPL","CHPL Listing Maintenance","Monitor and maintain accuracy of CHPL listing(s). Coordinate with ONC-ACB for timely submission of RWT plans/results, attestations, and other required publications.","Ongoing","https://chpl.healthit.gov/","CHPL listing screenshots/records; listing accuracy verification; coordination records with ONC-ACB.","CHPL listing review; accuracy verification.","Compliance; Product Management","Is the CHPL listing current and accurate? Does it reflect current certification status, edition, and criteria?","CHPL listing accurate; all required publications current (RWT, attestations, surveillance).","Customer confusion; CMS EHR Certification ID issues; reputational damage.","Ongoing; triggered by certification changes","2015 (2015 Edition Final Rule)","Ongoing","CMS EHR Certification ID generated from CHPL — accuracy critical for provider PI participation."
"CMS-CEHRT-01","Indirect Obligation","42 CFR §414.1305","CEHRT Definition Maintenance","Product must meet CEHRT definition: Base EHR + (a)(12), (e)(3), (g)(1)/(g)(2), (c)(2)/(c)(3), plus criteria for applicable PI measures. CEHRT functionality must be in place by first day of EHR reporting period; certified by last day.","CEHRT","https://www.cms.gov/medicare/regulations-guidance/promoting-interoperability-programs/certified-ehr-technology","CEHRT criteria coverage matrix; CMS EHR Certification ID; customer reporting period alignment.","CEHRT coverage review; CMS Certification ID verification.","Product Management; Compliance","Does the product meet the full CEHRT definition? Can customers generate a valid CMS EHR Certification ID?","All CEHRT criteria certified; CMS EHR Certification ID generatable via CHPL.","Customers lose PI eligibility; payment penalties (up to -9% MIPS, hospital APU reduction).","Ongoing; triggered by certification changes or lapses","2015 (Cures Act)","Ongoing — any certification lapse immediately impacts customers","Any lapse in certification disqualifies customers from CMS programs."
"CMS-PI-01","Indirect Obligation","MIPS PI / Medicare PI","PI Measure Support — All Required Measures","Product must support all required MIPS PI measures: e-Prescribing, HIE (Send/Receive/Reconcile or Bi-Directional or TEFCA), Patient Exchange, eCR, Immunization Registry, Security Risk Analysis attestation, SAFER Guide attestation.","CEHRT","https://qpp.cms.gov/mips/promoting-interoperability","PI measure coverage matrix; measure calculation evidence; dashboard functionality demonstration.","PI measure functional testing; customer attestation support review.","Product / Engineering; Customer Success","Can the product support all required PI measures? Are measure calculations accurate?","All PI measures supported; calculations verified; attestation workflows available.","Customer payment penalties; competitive disqualification.","Ongoing; annual PI program updates","2015 (MACRA)","Ongoing; align with annual CMS PI program changes","PI worth 25% of MIPS Final Score for 2025."
"CMS-SRA-01","Indirect Obligation","45 CFR §164.308(a)(1)(ii)(A)","HIPAA Security Risk Analysis — Vendor Component","As a cloud EHR vendor/business associate, conduct own SRA. Support customer SRA efforts by providing security control documentation (SOC 2, etc.).","Ongoing","https://www.hhs.gov/hipaa/for-professionals/security/guidance/guidance-risk-analysis/index.html","SRA documentation; risk register; remediation roadmap; SOC 2 Type II report; customer-facing security documentation.","SRA document review; risk register review; SOC 2 report verification.","Security / IT Operations; Compliance","Is the vendor SRA current? Is the risk register maintained? Is SOC 2 current? Can customer SRA documentation be provided?","SRA completed and current; risk register with owners and timelines; SOC 2 Type II report current; customer documentation available.","HIPAA violation; OCR enforcement; customer PI attestation failure (SRA is required Yes/No measure).","At least annual; continuous (update for environmental changes)","HIPAA Security Rule (2003)","Ongoing; retain documentation for 6 years per HIPAA","CMS PI requires provider SRA attestation — providers rely on vendor security documentation."
"CMS-SAFER-01","Indirect Obligation","CMS PI Program / MIPS PI","SAFER Guides — Product Support","Support customer completion of SAFER Guide self-assessments. Product should enable practices recommended in all eight 2025 SAFER Guides. Hospitals must attest to reviewing all guides; MIPS clinicians attest to High Priority Practices guide.","Market-critical","https://healthit.gov/clinical-quality-and-safety/safer-guides/","SAFER Guide coverage analysis; customer-facing documentation; product feature mapping to SAFER recommendations.","SAFER Guide alignment review.","Product / Engineering; Customer Success; Clinical Informatics","Has the product been reviewed against all eight 2025 SAFER Guides? Can customers complete self-assessments using the product?","Product features mapped to SAFER recommendations; customer documentation available; AI safety recommendations addressed if applicable.","Customer attestation difficulty; market differentiation loss.","Annual (align with SAFER Guide updates)","2022 (CMS PI requirement)","2025 SAFER Guides released for 2026 MIPS attestation cycle","2025 revision includes AI-related guidance in Organizational Responsibilities guide."
"HIPAA-PRIV-01","Regulatory Obligation","45 CFR Parts 160, 164 Subparts A, E","HIPAA Privacy Rule — Business Associate Obligations","As a business associate, enter into BAAs with covered entity customers. Comply with HIPAA Privacy Rule requirements applicable to BAs.","Ongoing","https://www.hhs.gov/hipaa/for-professionals/privacy/index.html","BAA template; executed BAAs; Privacy Rule compliance documentation.","BAA review; privacy compliance assessment.","Legal / Compliance","Are BAAs in place with all covered entity customers? Does the BAA template meet current requirements?","BAAs executed with all customers; template current; privacy practices documented.","HIPAA violation; OCR enforcement; customer relationship risk.","Ongoing; triggered by new customer onboarding","HIPAA (1996/2013)","Ongoing","EHI definition (§170.102) aligns with HIPAA designated record set."
"HIPAA-BREACH-01","Regulatory Obligation","HITECH Act; 45 CFR 164 Subpart D","Breach Notification — Business Associate Obligation","Notify covered entity customers of breaches of unsecured PHI without unreasonable delay and no later than 60 days after discovery.","Ongoing","https://www.hhs.gov/hipaa/for-professionals/breach-notification/index.html","Breach response plan; notification timeline documentation; breach log.","Breach response plan review; tabletop exercise.","Security / IT Operations; Legal / Compliance","Is there a breach notification plan? Can the team notify within 60 days? Is the breach log current?","Breach plan documented; notification timeline demonstrated; log maintained.","HIPAA violation; OCR enforcement; state AG enforcement; reputational damage.","Event-driven (within 60 days of discovery); plan reviewed annually","HITECH Act (2009)","Within 60 days of breach discovery","Interacts with SRA — current SRA helps demonstrate reasonable security measures."
"MARKET-SOC2-01","Market Expectation","N/A (voluntary)","SOC 2 Type II Certification","Obtain and maintain SOC 2 Type II report covering Trust Services Criteria (Security, Availability, Processing Integrity, Confidentiality, Privacy).","Market-critical","N/A","SOC 2 Type II report; remediation evidence for any exceptions; auditor letter.","Annual SOC 2 audit; exception remediation tracking.","Security / IT Operations; Compliance","Is the SOC 2 Type II report current? Are there any exceptions? Have exceptions been remediated?","SOC 2 Type II report current (within 12 months); no material exceptions or all remediated.","Customer trust loss; competitive disadvantage; unable to provide SRA support documentation.","Annual","N/A (market expectation)","Annually","Supports customer HIPAA SRA attestation requirements."
"EDN-2025-01","Enforcement Discretion","EDN2025.01","USCDI v3 SOGI Data Elements","No enforcement for omitting sexual orientation, gender identity, sex parameter for clinical use, name to use, pronouns per EO 14168.","Base EHR / CEHRT","https://healthit.gov/certification-health-it/enforcement-discretion-notices/","Documentation of which SOGI elements are omitted vs. supported; EO 14168 compliance posture.","Configuration review.","Product / Engineering; Compliance","Which SOGI elements are implemented? Is the discretion expiration tracked?","SOGI posture documented; expiration monitoring in place.","If discretion expires without regulatory action, omission becomes non-conformity.","Monitor until expiration or regulatory action","Mar 21, 2025","~Mar 2026 (12 months) or regulatory action per EO 14168","Affects all criteria referencing §170.213 (USCDI)."
"EDN-2025-02","Enforcement Discretion","EDN2025.02","Insights Condition — Measure Deferral","Only 'use of FHIR in apps' measure required; all other Insights measures suspended until deregulatory revision or removal.","Ongoing","https://healthit.gov/certification-health-it/enforcement-discretion-notices/","Documentation of which Insights measures are being tracked; FHIR app usage data collection status.","Data collection readiness review.","Product / Engineering; Compliance","Is FHIR app usage data being collected? Are other measures being tracked even under discretion?","FHIR app data collection operational; awareness of deferred measures maintained.","If discretion changes, may need rapid compliance on additional measures.","Monitor until deregulatory action","Apr 29, 2025","July 2027 (Phase 1 FHIR app measure); other measures TBD","Temporary; underlying regulatory obligations remain."
"EDN-2025-03","Enforcement Discretion","EDN2025.03","Real World Testing — Plan/Results Relief","No 2026 RWT plan required. 2025 results only for (g)(7)-(10) certified modules as of Aug 31, 2024.","Ongoing","https://healthit.gov/certification-health-it/enforcement-discretion-notices/","RWT process documentation (maintained even under discretion); (g)(7)-(10) results for CY 2025 if applicable.","RWT readiness review; (g)(7)-(10) results verification.","Quality Assurance; Product / Engineering","Are (g)(7)-(10) RWT results ready for March 2026? Are internal RWT processes maintained?","(g)(7)-(10) results submitted if applicable; internal processes maintained.","Non-compliance if discretion expires and processes not in place.","Through Dec 31, 2026","Jun 30, 2025","Effective through Dec 31, 2026","HTI-5 may remove RWT permanently. Maintain readiness regardless."
"EDN-2025-04","Enforcement Discretion","EDN2025.04","Electronic Case Reporting (f)(5) Standards","Relaxed eCR standards requirements; functional vs. standards-based conformance accepted.","CEHRT","https://healthit.gov/certification-health-it/enforcement-discretion-notices/","eCR implementation status; functional conformance evidence.","eCR functional testing.","Product / Engineering","Is eCR functional even if not fully standards-conformant? Is the Dec 31, 2026 expiration tracked?","eCR functional; standards work in progress; expiration monitored.","Non-conformity if discretion expires without full standards compliance.","Through Dec 31, 2026","Jul 31, 2025","Effective through Dec 31, 2026",""
"EDN-2025-06","Enforcement Discretion","EDN2025.06","HTI-1 Criteria Update Deadline Extension","Extended HTI-1 update/provision deadlines from Jan 1, 2026 to Feb 28, 2026 for revised criteria: (a)(5), (a)(12), (a)(15), (b)(1), (b)(2), (b)(9), (b)(11), (c)(4), (e)(1), (f)(1), (f)(3), (f)(4), (g)(6), (g)(9), (g)(10).","Base EHR / CEHRT","https://healthit.gov/certification-health-it/enforcement-discretion-notices/","Update completion records for each affected criterion; deployment to customers evidence.","Update completion verification per criterion.","Product / Engineering","Have all HTI-1 required updates been completed and deployed by Mar 1, 2026?","All affected criteria updated; updates deployed to customers.","Certification non-conformity; Assurances Condition violation.","One-time (deadline passed Feb 28, 2026)","Nov 24, 2025","Feb 28, 2026 (now past)","Deadline has passed. Verify all updates complete."
